Lat,Lon,LatLon,Result
6.90605193368945, 116.84856891632,"6.90605193368945, 116.84856891632",13
6.897009550156024,116.84856891632,"6.897009550156024,116.84856891632",13
6.887967163205547,116.84856891632,"6.887967163205547,116.84856891632",10
6.878924772842407,116.84856891632,"6.878924772842407,116.84856891632",4
6.878924687329761,116.85761676909749,"6.878924687329761,116.85761676909749",1
6.887967077692933,116.85761676909749,"6.887967077692933,116.85761676909749",7
6.878924687329769,116.83952106354252,"6.878924687329769,116.83952106354252",3
6.887967077692941,116.83952106354252,"6.887967077692941,116.83952106354252",8
6.897009464643452,116.83952106354252,"6.897009464643452,116.83952106354252",5
6.906051848176911,116.83952106354252,"6.906051848176911,116.83952106354252",13
6.915094228288927,116.83952106354252,"6.915094228288927,116.83952106354252",12
6.924136604975109,116.83952106354252,"6.924136604975109,116.83952106354252",0
6.8879669920668505,116.83047303952293,"6.8879669920668505,116.83047303952293",0
6.88796690644076,116.82142501550496,"6.88796690644076,116.82142501550496",0
6.887966820814671,116.8123769914886,"6.887966820814671,116.8123769914886",0
6.8879667351885825,116.80332896747389,"6.8879667351885825,116.80332896747389",0
6.887966649562495,116.79428094346079,"6.887966649562495,116.79428094346079",0
6.897009379017395,116.83047303952293,"6.897009379017395,116.83047303952293",0
6.906051762550886,116.83047303952293,"6.906051762550886,116.83047303952293",4
6.915094142662933,116.83047303952293,"6.915094142662933,116.83047303952293",2
6.924136519349147,116.83047303952293,"6.924136519349147,116.83047303952293",0
6.933178892605136,116.83047303952293,"6.933178892605136,116.83047303952293",0
6.942221262426509,116.83047303952293,"6.942221262426509,116.83047303952293",0
6.951263628808879,116.83047303952293,"6.951263628808879,116.83047303952293",0
6.897009293391337,116.82142501550496,"6.897009293391337,116.82142501550496",0
6.906051676924861,116.82142501550496,"6.906051676924861,116.82142501550496",0
6.915094057036941,116.82142501550496,"6.915094057036941,116.82142501550496",1
6.924136433723187,116.82142501550496,"6.924136433723187,116.82142501550496",1
6.933178806979209,116.82142501550496,"6.933178806979209,116.82142501550496",0
6.942221176800616,116.82142501550496,"6.942221176800616,116.82142501550496",0
6.9512635431830185,116.82142501550496,"6.9512635431830185,116.82142501550496",0
6.8970092077652785,116.8123769914886,"6.8970092077652785,116.8123769914886",0
6.9060515912988345,116.8123769914886,"6.9060515912988345,116.8123769914886",0
6.915093971410947,116.8123769914886,"6.915093971410947,116.8123769914886",1
6.924136348097226,116.8123769914886,"6.924136348097226,116.8123769914886",1
6.933178721353279,116.8123769914886,"6.933178721353279,116.8123769914886",0
6.942221091174719,116.8123769914886,"6.942221091174719,116.8123769914886",0
6.951263457557154,116.8123769914886,"6.951263457557154,116.8123769914886",0
6.960305991747855,116.83047303952293,"6.960305991747855,116.83047303952293",1
6.9693483512390495,116.83047303952293,"6.9693483512390495,116.83047303952293",1
6.978390707278071,116.83047303952293,"6.978390707278071,116.83047303952293",0
6.951263542388499,116.83952226869835,"6.951263542388499,116.83952226869835",0
6.960305906122027,116.82142501550496,"6.960305906122027,116.82142501550496",0
6.969348265613253,116.82142501550496,"6.969348265613253,116.82142501550496",1
6.960305820496195,116.8123769914886,"6.960305820496195,116.8123769914886",0
6.9693481799874535,116.8123769914886,"6.9693481799874535,116.8123769914886",1
