Lat,Lon,LatLon
6.908861154392242,116.74778790909329,"6.908861154392242,116.74778790909329"
6.926945909061326,116.74778790909329,"6.926945909061326,116.74778790909329"
6.945030650004053,116.74778790909329,"6.945030650004053,116.74778790909329"
6.963115377185309,116.74778790909329,"6.963115377185309,116.74778790909329"
6.98120009056998,116.74778790909329,"6.98120009056998,116.74778790909329"
6.999284790122957,116.74778790909329,"6.999284790122957,116.74778790909329"
7.017369475809138,116.74778790909329,"7.017369475809138,116.74778790909329"
7.035454147593428,116.74778790909329,"7.035454147593428,116.74778790909329"
6.872691604015519,116.74778790909329,"6.872691604015519,116.74778790909329"
6.854606808378144,116.74778790909329,"6.854606808378144,116.74778790909329"
6.836521999154947,116.74778790909329,"6.836521999154947,116.74778790909329"
6.818437176381069,116.74778790909329,"6.818437176381069,116.74778790909329"
6.800352340091667,116.74778790909329,"6.800352340091667,116.74778790909329"
6.782267490321899,116.74778790909329,"6.782267490321899,116.74778790909329"
6.764182627106927,116.74778790909329,"6.764182627106927,116.74778790909329"
6.746097750481918,116.74778790909329,"6.746097750481918,116.74778790909329"
6.728012860482051,116.74778790909329,"6.728012860482051,116.74778790909329"
6.709927957142501,116.74778790909329,"6.709927957142501,116.74778790909329"
6.691843040498454,116.74778790909329,"6.691843040498454,116.74778790909329"
6.673758110585099,116.74778790909329,"6.673758110585099,116.74778790909329"
6.655673167437635,116.74778790909329,"6.655673167437635,116.74778790909329"
6.63758821109126,116.74778790909329,"6.63758821109126,116.74778790909329"
6.619503241581183,116.74778790909329,"6.619503241581183,116.74778790909329"
6.601418258942616,116.74778790909329,"6.601418258942616,116.74778790909329"
6.890776386031931,116.74778790909329,"6.890776386031931,116.74778790909329"
